Input_R1,Input_R2,D7_R1,D7_R2,D14_R1,D14_R2
BTG3_crRNA0408:549-575_T13_0.9695_0.736549699335966,837,1151,619,777,502,866
BTG3_crRNA0409:550-576_T6_0.9807_0.743484209482866,756,964,559,753,380,601
BTG3_crRNA0410:551-577_T5_0.9857_0.749206331439109,883,1121,682,819,601,573
BTG3_crRNA0411:552-578_T8_0.9745_0.73797520384558,859,957,526,796,360,559
BTG3_crRNA0412:553-579_T9_0.9735_0.73797520384558,726,981,562,769,477,489
BTG3_crRNA0413:554-580_T10_0.9725_0.73797520384558,667,957,460,776,243,526
BTG3_crRNA0414:555-581_T3_0.9949_0.774757715316505,726,850,479,704,337,592
BTG3_crRNA0483:647-673_T17_0.9521_0.732151888318653,519,619,454,472,336,326
BTG3_crRNA0522:686-712_B5_0.09572_0.509971992712743,430,646,397,509,261,388
BTG3_crRNA0528:692-718_B4_0.0723_0.485850522756036,298,553,317,427,292,430
BTG3_crRNA0529:693-719_B19_0.1446_0.550825264205197,361,639,342,488,436,363
BTG3_crRNA0530:694-720_B16_0.1324_0.544448263173206,261,417,272,380,138,355
BTG3_crRNA0545:709-735_T11_0.9715_0.737415056250131,580,822,503,756,324,533
BTG3_crRNA0546:710-736_T12_0.9705_0.737171732538583,591,773,438,610,446,477
BTG3_crRNA0556:720-746_B13_0.1242_0.537522324103831,477,728,454,694,350,531
BTG3_crRNA0557:721-747_B8_0.1049_0.519072365188193,334,500,315,477,335,330
BTG3_crRNA0560:724-750_B15_0.1273_0.540724860348381,437,789,412,579,370,508
BTG3_crRNA0563:727-753_B12_0.1171_0.531935701832738,552,499,476,569,403,599
BTG3_crRNA0564:728-754_B7_0.1029_0.516578028448109,592,724,523,660,302,588
BTG3_crRNA0566:730-756_B11_0.113_0.526274710158623,511,734,484,600,427,581
BTG3_crRNA0568:732-758_B9_0.1079_0.521886026745993,768,1016,608,842,488,707
BTG3_crRNA0569:733-759_B2_0.05601_0.473834061282954,604,761,504,737,371,556
BTG3_crRNA0571:735-761_B10_0.11_0.525086309622867,685,946,568,764,413,548
BTG3_crRNA0641:829-855_T14_0.9684_0.736115971560294,495,718,440,677,434,1270
BTG3_crRNA0642:830-856_T16_0.9552_0.732995280615343,527,674,409,523,238,415
BTG3_crRNA0643:831-857_T4_0.9908_0.755837325025989,580,734,514,575,307,495
BTG3_crRNA0644:832-858_T1_0.999_0.796144869759335,518,766,411,634,505,989
BTG3_crRNA0688:876-902_B18_0.1405_0.547062515915605,478,629,287,505,275,337
BTG3_crRNA0760:972-998_T15_0.9603_0.733735054661532,494,635,366,479,214,335
BTG3_crRNA0762:974-1000_T18_0.9501_0.730416969635849,492,781,453,577,268,750
BTG3_crRNA0763:975-1001_T20_0.947_0.728017534380477,405,536,465,371,1330,269
BUB1B_crRNA0180:180-206_T7_0.9977_0.785576379827044,814,870,332,440,243,294
BUB1B_crRNA0181:181-207_T8_0.9974_0.785576379827044,615,829,253,458,92,175
BUB1B_crRNA0182:182-208_T2_0.9993_0.802577097411142,773,859,459,820,364,921
BUB1B_crRNA0195:218-244_B2_0.0003307_0.407860875415385,673,1000,525,729,494,595
BUB1B_crRNA0196:219-245_B4_0.0009921_0.436294050415442,674,727,488,693,431,895
BUB1B_crRNA0197:220-246_B5_0.001323_0.436386540773616,623,852,469,628,436,561
BUB1B_crRNA0254:277-303_T5_0.9983_0.789611387765532,434,631,328,424,276,497
BUB1B_crRNA0260:283-309_T15_0.9934_0.775090406947467,550,775,347,578,278,822
BUB1B_crRNA0261:284-310_T16_0.9931_0.775090406947467,663,998,580,733,390,538
BUB1B_crRNA0801:919-945_T13_0.994_0.776923818989703,702,779,530,645,410,585
BUB1B_crRNA0803:921-947_T9_0.997_0.78363587217185,839,998,764,960,671,1091
BUB1B_crRNA0817:935-961_B6_0.001653_0.443010309605854,676,903,600,785,819,579
BUB1B_crRNA0825:943-969_B3_0.0006614_0.409127030505119,363,759,410,584,322,432
BUB1B_crRNA0826:944-970_B12_0.003968_0.461581964683231,613,875,617,737,456,978
BUB1B_crRNA0971:1138-1164_B9_0.002646_0.455587980142622,715,836,462,624,995,483
BUB1B_crRNA0979:1146-1172_B18_0.006614_0.48705967412941,631,836,604,642,495,535
BUB1B_crRNA0980:1147-1173_B1_0_0.351609069588169,802,825,571,797,485,761
BUB1B_crRNA1003:1170-1196_B14_0.005291_0.47586677641145,501,653,384,630,337,550
BUB1B_crRNA1052:1219-1245_T12_0.9944_0.776973177142109,535,755,396,559,247,447
BUB1B_crRNA1131:1298-1324_T11_0.9954_0.779787160883333,421,457,306,405,340,279
BUB1B_crRNA1135:1302-1328_T3_0.999_0.791215241219588,411,588,381,467,344,324
BUB1B_crRNA1136:1303-1329_T1_0.9997_0.837223564278433,445,662,364,695,488,469
BUB1B_crRNA1178:1345-1371_T14_0.9937_0.775749859184864,767,861,319,469,161,201
BUB1B_crRNA1235:1402-1428_T10_0.9967_0.782953692389112,265,450,225,367,143,250
