"rank_cctop","rank_flash","rank_cpick","rank_chopchop","rank_crisprverse","lfc"
171,128,53,133,29,-0.42
65,40,121,42,164,-0.186
130,116,13,107,31,-0.183
4,3,5,47,2,-0.496
77,87,19,59,24,-2.593
130,83,1,101,2,-3.046
9,8,26,5,9,-1.369
63,9,2,22,4,-0.969
94,65,5,36,3,-3.129
46,15,17,16,5,-1.781
73,18,9,57,7,-1.407
71,64,8,100,6,-0.669
43,19,98,13,2,-1.25
67,61,32,35,10,-0.727
33,43,26,45,15,-1.014
7,1,5,5,4,-0.859
1,18,54,2,20,-1.538
24,8,13,8,3,-3.728
18,26,1,61,17,-1.397
77,82,31,83,29,-2.236
42,68,24,41,36,-0.516
52,66,56,51,51,-1.107
55,47,50,71,13,-1.474
12,6,3,1,4,-2.334
89,23,6,31,8,-2.687
49,16,14,17,7,-0.749
4,4,7,9,11,-0.591
55,47,18,52,15,-0.917
63,89,68,79,12,-0.755
66,52,36,65,2,-2.167
7,1,11,3,3,-0.976
1,16,3,6,132,-2.729
121,108,6,60,5,-1.767
20,3,102,21,4,-1.269
74,69,1,55,1,-1.289
4,116,18,142,7,-2.118
122,92,5,109,125,-0.418
1,2,15,6,4,-1.879
20,20,6,4,7,-1.742
48,58,38,42,118,-0.626
17,45,9,69,8,0.276
14,26,7,19,7,-1.67
